Age,Branch,Study_Hours_per_Day,Sleep_Hours,Screen_Time_Hours,Gym_Hours_per_Week,Diet_Type,Attendance_Percentage,Stress_Level_1_to_10,Residence,Internal_Marks,CGPA
23,ECE,4.14,6.84,9.23,2.67,Non-Veg,81.24,4.93,Hosteller,65.86,7.52
20,Civil,5.97,5.52,3.09,15.61,Veg,90.55,6.96,Day Scholar,62.52,7.21
24,Electrical,3.19,3.39,5.02,2.52,Veg,69.4,7.38,Hosteller,40.11,4.84
21,CSE,4.77,6.44,9.21,0.0,Non-Veg,80.79,5.84,Day Scholar,61.25,6.74
23,Civil,5.42,6.54,4.76,9.93,Veg,82.63,6.67,Day Scholar,64.54,7.77
19,ECE,3.01,7.25,5.07,13.89,Non-Veg,80.43,3.28,Hosteller,64.4,7.26
23,ECE,2.77,6.24,1.66,8.0,Non-Veg,76.35,3.3,Day Scholar,57.73,6.87
24,CSE,3.77,4.71,3.94,9.44,Veg,76.02,4.66,Hosteller,60.32,7.04
21,Mechanical,3.31,5.51,6.11,17.94,Veg,79.34,5.8,Day Scholar,54.83,5.9
20,IT,5.73,8.08,9.86,13.97,Non-Veg,87.37,6.06,Day Scholar,72.57,7.7
24,ECE,2.5,5.5,4.61,7.17,Veg,73.66,3.06,Hosteller,59.66,6.8
24,Electrical,4.1,8.4,1.67,4.59,Veg,81.66,3.44,Day Scholar,70.05,7.25
19,Electrical,7.82,7.76,2.19,13.13,Veg,100.0,5.89,Hosteller,79.26,9.35
22,ECE,4.62,6.12,4.93,11.64,Veg,84.6,5.7,Day Scholar,69.06,8.52
21,Mechanical,4.87,5.63,7.35,9.34,Non-Veg,86.45,6.65,Day Scholar,50.7,6.38
18,Mechanical,5.74,7.76,6.27,5.17,Non-Veg,94.98,4.56,Hosteller,70.35,8.41
24,Civil,3.31,6.21,5.92,6.57,Non-Veg,79.73,4.19,Hosteller,46.6,5.91
22,Electrical,2.38,4.65,7.62,6.17,Veg,70.2,5.58,Hosteller,60.19,5.56
18,Civil,4.26,7.17,3.56,5.26,Veg,80.83,3.98,Day Scholar,71.3,8.78
21,Electrical,4.4,7.0,5.04,3.63,Non-Veg,88.14,3.72,Hosteller,78.09,8.16
17,IT,1.57,7.87,3.96,8.49,Veg,68.43,1.0,Hosteller,62.06,6.91
22,IT,4.56,6.92,4.46,3.38,Non-Veg,80.94,4.25,Hosteller,81.55,8.94
25,CSE,5.6,5.84,2.99,7.99,Veg,84.87,5.59,Hosteller,58.32,6.98
17,Civil,2.63,8.02,4.31,0.0,Non-Veg,74.52,1.23,Day Scholar,74.0,8.04
19,ECE,4.65,8.14,4.94,3.64,Veg,78.99,3.05,Day Scholar,72.27,8.54
23,Civil,5.34,6.78,4.26,13.15,Veg,93.12,6.36,Day Scholar,72.35,7.53
20,ECE,4.88,6.57,4.68,1.96,Veg,79.21,5.38,Day Scholar,77.31,8.03
25,Mechanical,5.02,4.91,5.81,10.32,Veg,92.5,9.66,Day Scholar,48.89,5.51
19,Civil,3.63,5.77,7.48,2.42,Veg,76.74,2.85,Day Scholar,68.37,7.64
21,Mechanical,2.31,7.41,7.62,11.34,Non-Veg,66.16,2.21,Hosteller,67.84,7.3
19,IT,3.33,5.83,6.52,5.34,Non-Veg,77.59,4.05,Day Scholar,60.54,6.51
23,IT,3.12,4.75,2.48,5.11,Non-Veg,70.84,4.41,Hosteller,72.39,7.47
21,CSE,3.88,10.0,4.28,7.3,Non-Veg,79.57,1.0,Hosteller,85.41,8.94
25,Civil,5.64,4.74,4.45,0.0,Veg,85.31,7.79,Hosteller,62.19,6.93
23,Mechanical,2.03,9.21,3.69,12.44,Veg,74.89,1.0,Hosteller,62.84,7.25
18,ECE,4.22,6.13,5.68,14.3,Veg,81.77,5.18,Day Scholar,68.15,7.12
20,IT,2.4,6.4,1.81,4.98,Non-Veg,66.08,2.31,Day Scholar,72.98,8.2
25,IT,2.89,5.69,8.39,9.94,Veg,71.46,4.53,Day Scholar,58.05,6.39
18,ECE,4.84,7.44,7.39,11.36,Non-Veg,87.72,4.17,Hosteller,78.25,8.4
25,Mechanical,2.22,4.77,5.96,6.49,Veg,77.51,3.32,Day Scholar,65.75,6.76
21,Mechanical,5.1,4.29,4.88,0.79,Non-Veg,85.28,7.56,Day Scholar,60.34,6.56
18,Civil,1.97,8.43,7.46,15.93,Non-Veg,64.64,1.0,Day Scholar,63.35,7.36
